seq	initial_primary	initial_secondary	final_primary	final_secondary	classification_change	reason_for_change	path
0034	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Operational_Evidence_Register.md
0035	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Ontology_Discovery.md
0036	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Ontology_Cross_Product_Validation.md
0037	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Ontology_Architecture_Classification.md
0038	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Mission_Discovery.md
0039	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Meta_Model_Discovery.md
0040	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/README.md
0041	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/OKF_KnowledgeOS_Architecture_Synthesis.md
0042	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Vision_Mission_Clarification.md
0043	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Viewpoint_Ownership_Discovery.md
0044	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Strategic_Architecture_Discovery.md
0045	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Semantic_Architecture_Reconciliation.md
0046	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Research_Backlog.md
0047	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-104748-ai-engineering-lifecycle-five-responsibilities-governance.md
0048	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/_misc/20260821-150830-diagram.png
0049	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260816-204714-track2-eks-semantic-discovery.md
0050	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260817-145153-ai-engineering-platform-6-role-model.md
0051	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260818-213516-lcom4-multi-language-binding.md
0052	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-092449-research-on-role-separation.md
0053	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-104802-delegation-map-domain-owners.md
0054	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-104804-voting-election-outcome-refinement.md
0055	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-104823-four-session-role-model-refinement.md
0056	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-104830-election-only-mode-readiness.md
0057	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-204018-kos-product-architecture-v2.md
0058	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-204431-kos-ddd-architecture-review-v3.md
0059	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-205541-kos-ddd-architecture-v3-duplicate.md
0060	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-205757-ddd-correction-verification-verdict.md
0061	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-220806-kos-3-0-state-durability-ddd-boundary.md
0062	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260819-220924-spring-di-principle-for-kos.md
0063	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260820-115444-poa-vs-ddd-decision-hierarchy.md
0064	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260820-123902-kos-design-patterns.md
0065	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260820-231930-event-driven-architecture-refinement.md
0066	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-120633-kos-state-durability-assurance-integration.md
0067	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-120810-kos-governance-role-cost-optimization.md
0068	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-121929-business-translator-capability.md
0069	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-142748-event-driven-domain-loop-positioning.md
0070	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/_misc/20260819-221159-digitalization-robot-vision.md
0071	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/_misc/20260819-224159-linux-analogy-kernel-os-model.md
0072	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/_misc/20260819-225329-ip-protection-secrecy-strategy.md
0073	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/_misc/20260819-225332-kos-ipo-stock-market-variant.md
0074	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/_misc/20260819-225858-kos-ipo-stock-market-path.md
0075	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-2032-how-to-change-eks-into-knowledgeos-kernel.md
0076	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-2033-what-eks-is-today.md
0077	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260801-1231-eks-current-architecture-baseline.md
0078	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-2108-how-to-integrate-current-eks-into-knowledgeos-kernel.md
0079	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-2325-complex-numbers-in-knowledgeos-modeling-tool.md
0080	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260821-2351-independent-external-research-review-organizational-knowledge-systems.md
0081	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/_misc/20260821-2353-deepseek-investigation-eks-pks-aip-current-architecture.md
0082	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0021-mathematical-models-for-knowledgeos-where-mathematics-belongs.md
0083	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0113-research-review-expression-meaning-invariance.md
0084	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0121-knowledgeos-zero-concept-research-extraction-prompt.md
0085	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0123-knowledgeos-consolidation-review-kernel-boundary-filter.md
0086	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0135-knowledgeos-conceptual-foundation-relationship-invariant-preservation.md
0087	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0146-knowledgeos-epistemic-pipeline-veda-vedanta-analysis.md
0088	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0159-epistemic-operating-system-research-foundations.md
0089	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0200-knowledgeos-vs-epistemic-os-layer-separation-review.md
0090	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0203-truth-seeking-machine-knowledgeos-core-question-refinement.md
0091	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0207-knowledgeos-character-definition-strategic-synthesis.md
0092	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0218-tarka-shastra-nyaya-epistemology-research-extraction.md
0093	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0222-knowledgeos-reasoning-character-after-tarka-analysis.md
0094	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0225-knowledgeos-extraction-navya-nyaya-relations-context.md
0095	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0232-knowledgeos-extraction-tarka-nyaya-reasoning-lifecycle.md
0096	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0234-knowledgeos-vyapti-inference-warranting-relation-layer.md
0097	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0239-knowledgeos-pramana-registry-nyaya-sutra-extraction.md
0098	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0241-knowledgeos-semantic-kernel-matilal-word-and-world.md
0099	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0243-knowledgeos-hetvabhasa-reasoning-anti-corruption-layer.md
0100	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0249-knowledgeos-tarka-sangraha-ontology-pramana-reasoning.md
0101	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0252-knowledgeos-keith-indian-logic-atomism-ontology-epistemology.md
0102	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0254-knowledgeos-chakra-architecture-transformation-pipeline.md
0103	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0257-knowledgeos-cognitive-epistemology-architecture-yoga-sutra.md
0104	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0258-knowledgeos-abhava-absence-structured-knowledge-lens.md
0105	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0302-knowledgeos-final-character-synthesis.md
0106	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-0915-knowledgeos-p4-constitutional-invariant-map-launch-prompt.md
0107	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-101651-sakta-tantra-woodroffe-lens-extraction-duplicate.md
0108	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-101729-kashmiri-shaivism-prakasa-vimarsa-lens.md
0109	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-101842-sakta-tantra-woodroffe-lens-extraction.md
0110	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-103624-aip-s5-review-lane-instruction-vedic-zero-lens.md
0111	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-105719-quranic-epistemology-lens-al-haqq-isnad.md
0112	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-105921-negative-epistemology-what-knowledgeos-is-not.md
0113	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-110210-biblical-explanation-architecture-lens.md
0114	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-110850-moksha-lens-state-transformation-of-knower.md
0115	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-111434-shiva-shakti-unity-through-manifestation-convergence.md
0116	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-111626-leonardo-contextual-completeness-lens.md
0117	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-112442-bala-ganesha-wisdom-engine-lens.md
0118	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-112804-knowledgeos-consolidation-review-character-synthesis.md
0119	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-113910-ganesha-wisdom-integration-layer-review.md
0120	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-114551-wisdom-transformation-epistemic-humility-research-extraction.md
0121	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-114753-ganesha-wisdom-architecture-core-components.md
0122	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-115144-godel-truth-provability-boundary-lens.md
0123	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-115830-godel-numbering-knowledge-identity-numbers-reflection.md
0124	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-120635-math-music-hofstadter-fourier-harmonics-of-meaning.md
0125	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-120638-knowledgeos-math-music-lens-extraction-harmonic-knowledge.md
0126	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-122523-godel-not-architecture-formal-justification-boundaries.md
0127	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-122537-logic-in-classical-indian-philosophy-review-nyaya-trirupa.md
0128	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-122927-logic-in-classical-indian-philosophy-sep-source.md
0129	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-122930-escher-invariant-transformation-lens.md
0130	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-125015-vedic-sanskrit-grammar-v2-word-order-semantic-normal-form.md
0131	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-125831-sanskrit-inspired-semantic-language-artha-research-extraction.md
0132	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-124229-sanskrit-grammar-v1-dhatu-transformation-lens.md
0133	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-135214-po-arb-acceptance-decision-support-option-1-recommendation.md
0134	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-140426-research-phase-closure-ddd-refinement-review-prompt.md
0135	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-140622-paninian-grammar-compiler-architecture-parallel.md
0136	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-140939-knowledgeos-semantic-compiler-architecture-research-extraction.md
0137	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-141513-semantic-compiler-cpu-prototype-benchmark-first-run.md
0138	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-143217-benchmark-verification-reinterpreted-knowledgeos-v1-1-layers.md
0139	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-143421-semantic-compiler-kernel-boundary-refinement-kos-ev.md
0140	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-143844-next-steps-architecture-first-then-semantic-compiler-experiment.md
0141	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260822-154923-snf-measurement-framework-mathematical-review.md
0142	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/kernel/20260822-161933-snf-formula-research-review-and-measurement-framework.md
0143	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/brainstorming/20260823-103255-candidate-set-architecture-ah6-interpretation-execution-separation.md
